CG00000-RA	RhoGAP1A	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG00000-RB	RhoGAP1A	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10000-RA	CG10000	0.25601009217553666	1.4460447607285236	5.398492068643045e-06	4.848584104909372e-06	3.939862313974887e-06	1.764743308530748e-06	1.2870178723789642e-06	1.8728334091590517e-06
CG10001-RA	AstA-R2	0.8606975606199927	0.9439205650603031	5.2646183517473945e-06	4.379402071413069e-06	5.443505970263156e-06	5.602341035089057e-06	5.285225400298354e-06	4.988197521125442e-06
CG10002-RA	fkh	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10002-RB	fkh	0.9064554276984147	0.962612752398942	4.076011134961347e-06	4.073387280446645e-06	4.4696608962242285e-06	3.22433363414087e-06	4.362066345192748e-06	3.853607629244634e-06
CG10005-RA	CG10005	0.2616075306071707	1.4525309803806303	2.9520022275704623e-06	2.453899125735576e-06	1.4212608889370036e-06	2.2138155961905533e-06	6.899674760802486e-07	1.3901841809319012e-06
CG10006-RA	CG10006	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10006-RB	CG10006	0.676640882588527	0.8869052606183527	2.2219752661304676e-06	1.8441206938108073e-06	1.4072761790239934e-06	3.4242400015533183e-06	3.7837575000202548e-06	2.488297960877198e-06
CG10007-RA	Tango9	0.6527771235265736	0.8767457809086974	9.495888147859513e-05	0.00010727562832831369	9.859393726088899e-05	8.247055540859825e-05	7.811006802125147e-05	6.723047672412901e-05
CG10009-RA	Noa36	0.3227977926629524	1.5469945704834038	4.6652288019671914e-05	6.304722387350884e-05	4.929329342500898e-05	6.0423246395344124e-05	5.329318266179903e-05	6.109438907507992e-05
CG10011-RA	CG10011	0.7938328088452482	0.9142972068659436	4.763149646386293e-06	3.993166562222654e-06	6.794509995941935e-06	3.6731352531169e-06	5.606883307225319e-06	6.761434364040464e-06
CG10013-RA	CG10013	0.7723838495655255	0.9043675607829407	7.1897740968917065e-06	8.037208934291239e-06	7.740083001198356e-06	5.209259257241816e-06	5.7028912875453125e-06	1.1114639676902875e-05
CG10014-RA	CG10014	0.5394971249382099	0.8359132949995438	8.476153454899011e-05	0.0001057813489354917	9.263324979663011e-05	8.127593746237029e-05	8.070236358790604e-05	0.00012619694145737495
CG10016-RA	drm	0.17655311564614273	1.268325547436288	1.0903254882442783e-06	6.970267116091539e-07	7.569510447919582e-07	9.165152715823552e-07	9.670279137659062e-07	1.4807997270602414e-06
CG10016-RB	drm	1.2940575389684552e-29	1.0481372150553278e-27	4.072291593371967e-08	0.0	0.0	1.5974570487633808e-07	1.6180790226747297e-07	1.2225727690814378e-07
CG10018-RA	Snm1	0.24574968030425617	1.431527303249141	3.5085327416986633e-06	3.3715017763876644e-06	3.302398053519033e-06	4.2665569777258006e-06	4.391338823254366e-06	4.494176238434143e-06
CG10019-RB	CG10019	0.4224445339187769	0.7418035129739649	7.42389943778249e-07	7.993219049736767e-07	9.765457817396635e-07	9.620687410276013e-07	1.422226208182657e-06	1.7246540855091938e-06
CG10021-RA	bowl	0.9525448380339331	0.9814981309986935	2.5997322836770037e-07	2.939053967213383e-07	5.319547381587279e-08	3.059427769035655e-07	3.6154098048187805e-07	2.3414545525903527e-07
CG10021-RB	bowl	0.4502132258698795	0.7686222740293412	0.0	0.0	0.0	2.534273928115076e-08	2.5669895062085577e-08	2.5860553778728226e-08
CG10021-RC	bowl	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10021-RD	bowl	0.9264094440377817	0.9690129540578551	1.2483579623050005e-07	4.7043195494288696e-08	1.2771890727668965e-07	4.896992714150816e-08	2.4801046109791546e-07	9.994100640298824e-08
CG10023-RA	Fak	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10023-RB	Fak	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10023-RC	Fak	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10023-RD	Fak	0.8960013825534114	0.9582726206615233	7.303899018809902e-07	7.033925520221176e-07	8.136813933141687e-07	4.45687658900066e-07	7.094075257193611e-07	8.283750662205464e-07
CG10023-RE	Fak	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10026-RA	CG10026	0.011735657662337579	0.2538658422553168	5.164933018993972e-07	3.2439273705169853e-07	3.5228122128538156e-07	1.6883938826588298e-07	3.420379565957589e-07	3.445783845051795e-07
CG10026-RB	CG10026	0.18604804634701322	1.2885527387499895	1.1860216562134305e-07	5.586763804779252e-08	6.067065477692681e-08	1.1631157858316381e-07	4.712522957541567e-07	5.9344055109225355e-08
CG10026-RC	CG10026	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10029-RA	CG10029	0.6037116553615071	0.8639981817120678	3.655760010021317e-05	3.8954402734006294e-05	3.400858807126142e-05	4.6766041736498656e-05	6.0109072529007794e-05	4.882796072943135e-05
CG10031-RA	CG10031	0.6948536880808507	0.8843402971550757	5.9591389505267327e-05	7.63936418594632e-05	4.641305090434902e-05	5.3169994185242634e-05	3.0304026657936614e-05	2.5309102248673115e-05
CG10032-RA	CG10032	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
CG10033-RA	for	0.373900966300059	0.6866175498315638	0.0	0.0	0.0	0.0	0.0	0.0
